row.names.dat_cd8_marker.	SD
155	CDC37	3.18870475046944
118	RNPS1	2.185929141423
27	HCLS1	2.55882154656079
130	PSMB3	2.04083352088213
4	PSMB2	1.574544542657
115	PPIB	3.90980993794591
14	PDIA6	2.0328281898338
9	LAMTOR5	1.72835435198561
1	AURKAIP1	1.79812829358393
63	NDUFB6	1.75316757732124
48	WTAP	1.6505423956333
71	SSNA1	1.60822852670119
148	EIF6	1.4559452311901
26	TWF2	1.49875510863796
160	MRPL34	1.42731524929157
102	ANAPC5	1.49139730912139
154	ELAVL1	1.28419038246608
114	SNX1	1.34736998262966
20	DBI	2.73213203704375
60	LSM1	1.2728797659313
45	YIPF3	1.35242641094075
131	MIEN1	1.25576625158055
163	TMEM147	1.19453526248237
36	H2AFY	1.29153100730604
112	CCNDBP1	1.87890058584035
24	CMTM7	2.90770016975619
109	EIF2S1	1.20975395460702
72	PSMD13	1.58430819030952
149	CTSA	1.67123172292632
23	SATB1	2.53551367948833
126	TMEM208	1.31424619476506
138	SRP68	1.07001833165327
139	PRPSAP1	1.03616443582036
159	AP1M1	1.27716473944066
17	EIF2B4	0.903086693176797
123	BCKDK	0.832179329281968
6	ATP6V0B	1.98730602557524
28	RPN1	2.1864124445215
