row.names.dat_cd8_marker.	SD
48	ACADVL	1.65978489249357
25	CANX	1.89532936221829
45	POLR2C	1.32116634307956
27	NELFE	1.28844771736193
12	IMMT	1.2171127951572
30	PBDC1	1.2230404419119
37	MRPS2	0.943683945896587
15	EOMES	2.0331125430734
33	TERF1	1.30500141967357
39	PTPRJ	1.07985798603501
10	EIF2AK2	1.18565908313257
5	RBM15	0.87455327949481
53	FAM207A	0.740168174087682
40	MRPL48	0.754333032940735
26	HIST1H1E	1.93471872736169
28	MYO6	0.6913279419687
4	CSF1	2.12665018773829
8	RGS16	1.06696328997075
19	PHLDB2	0.61377000809944
46	NQO1	0.213597379826132
68	COCH	0.152583901615224
70	IL1A	0.291530815930002
84	SCN7A	0
82	STRA6	0
81	PCLO	0
80	CKMT2	0
79	GDNF	0
77	TBX15	0
76	COL19A1	0
71	MAP2	0
67	SYT1	0
66	HMGA2	0
65	HOXC6	0
60	CHL1	0
63	ANXA3	0
64	YAP1	0.0123777789079799
69	EFNB3	0.0244663412851474
61	CPA3	0.0276592757610393
58	EPCAM	0.0143132464169287
83	CELF4	0.0252726052329925
55	TLR7	0.0124548772758643
73	CLDN11	0.0281965571295007
78	KCNAB1	0.0400941605410623
54	MITF	0.0478298160983523
57	TGM2	0.033104172012129
62	TM4SF1	0.0619440992635129
74	SCRG1	0.078974809308211
44	PAWR	0.0572929944433112
72	TRPC1	0.130167412551838
56	GPM6B	0.107016727981436
59	AGAP1	0.125235828268468
75	HIST1H3F	0.186824107806631
23	F2RL1	0.195772191922612
9	CFH	0.21940582886748
16	ZNF35	0.187839548326009
6	CD160	0.25935744130691
2	DOCK7	0.31419520400739
31	FHL1	0.299397527164361
49	COPRS	0.291614391884354
34	GDAP1	0.366688328462963
3	GSTM3	0.436341158730739
29	PTPN12	0.441029158093109
36	GTF3C4	0.483583687823107
52	TUG1	0.481753311088845
11	TMEM150A	0.467822284064625
7	CD244	0.584941953314416
47	ZNF821	0.615342120592937
35	AUH	0.591177477504207
17	CCRL2	0.641646428949141
21	ACSL1	0.701547368238835
18	SMIM4	0.703595427570879
41	HINFP	0.710396366160294
32	VAMP7	0.892830610925759
