row.names.dat_cd8_marker.	SD
72	HNRNPA1	5.95988037174945
38	NPM1	5.03007023843676
110	RABAC1	3.10677704469159
61	SLC3A2	3.97748434350599
98	CD7	10.8968435153961
103	RBM39	3.36263213237965
96	DDX5	5.54550972891214
32	PARP8	2.28399589177355
59	FAM102A	1.7926410303063
31	IL7R	12.7958422219069
35	TCF7	1.67784001286581
94	CCR7	3.53915263314035
9	SELL	1.89325505210233
44	TAPBP	2.49039865896566
78	LAMP1	1.59874519285613
68	RGS10	2.06520217924321
82	EVL	3.0365954806804
108	FBL	1.631265404254
50	AKAP9	2.04910833050816
67	GSTO1	1.24641337575308
58	TRAF1	2.18915973458763
86	IL4R	1.58359247086362
22	SATB1	2.53551367948833
114	ABCG1	1.69498569758234
102	NOP56	1.47742715106487
19	DNAJB2	1.18063447051872
48	NDUFAF4	0.99113186128977
113	IFNAR2	1.2983986175339
62	NUMA1	1.34051762595556
1	SKI	1.21605730099665
5	MCOLN2	1.57867749489421
10	RGS2	4.98301789353408
66	GATA3	2.71749188885455
26	ZBTB20	0.993448258843202
69	PLEKHA1	0.995802881306552
25	DALRD3	0.934464049001377
21	XPC	0.933695126184891
56	RNF38	0.921189780736211
99	SMAD7	0.9221052938915
34	PAM	0.944355960970698
57	TNFSF8	0.973787566822423
4	GADD45A	1.07504109527899
101	BCL2	0.90882397482581
20	D2HGDH	0.735447313428459
2	RERE	0.710429044145399
49	SESN1	0.736420463138073
54	MYC	1.40512474511012
89	ZNRF1	0.530910327635056
85	PKD1	0.480970264337273
40	RREB1	0.496895277113613
8	IL6R	0.402299237934517
74	DUSP6	0.44661648303167
123	EYA2	0
120	TDRP	0
121	KCNJ8	0
118	AQP9	0.0809045992379653
122	OVGP1	0.0745773641140827
119	PRSS12	0.0933516795578381
117	KCTD12	0.101081482097577
116	KLF4	0.159350014914024
28	TLR6	0.12330427638198
115	SMAD1	0.0973250748337166
100	NEDD4L	0.151771675177686
16	WDR92	0.215909535409261
63	ARRB1	0.169285332333386
11	SIPA1L2	0.196793304658994
42	ZKSCAN3	0.193115685048287
80	ENTPD5	0.233274793244807
55	CD72	0.251503010075075
13	IFT172	0.281829261575705
93	NLK	0.30947108918012
79	IPO4	0.317790860606683
46	BCKDHB	0.334660409005611
43	HSD17B8	0.383351231013173
71	SLC11A2	0.406595839345622
91	TP53	0.385058408656789
27	IDUA	0.420962339723077
88	SNTB2	0.433124507780246
52	RPGR	0.461387471714253
76	P2RX4	0.434695241554586
18	PDK1	0.488811200073556
84	AXIN1	0.500088503611855
104	LONP1	0.481443301261753
41	ZSCAN26	0.494573974768582
30	SLC12A7	0.661961255551196
83	HEXA	0.537457086032068
60	NOTCH1	0.618166820383805
75	NR2C1	0.567107566212517
33	SSBP2	0.673184371810206
17	MOGS	0.682026695951164
112	C19orf48	0.646205651110066
23	NR1D2	0.802617209773184
90	TSR1	0.716212532715975
106	ATP13A1	0.815080855440376
87	VKORC1	0.85515279284519
37	LARP1	0.982291772169494
14	SRSF7	8.12084374607838
51	GALNT11	1.74764663963965
70	CCND2	2.32717163049468
7	CTSS	1.26623880224499
29	HSD17B11	1.21468423364015
